lambda,dim_GL9,sk3,pleth,m_det,m_perm,delta,status,is_strict,is_fine
"(3,3,3)",41580,1,0,1,10,9,"NO-PLETHYSM",0,0
"(4,3,2)",221760,0,0,0,12,12,"NO-KRONECKER",0,0
"(4,4,1)",152460,1,1,0,2,2,"OCCURRENCE",1,0
"(5,2,2)",205920,2,1,0,10,10,"OCCURRENCE",1,0
"(5,3,1)",347490,0,0,0,2,2,"NO-KRONECKER",0,0
"(5,4)",141570,0,0,0,10,10,"NO-KRONECKER",0,0
"(6,2,1)",315315,0,0,0,1,1,"NO-KRONECKER",0,0
"(6,3)",205920,1,1,0,10,10,"OCCURRENCE",1,0
"(7,1,1)",140140,0,0,0,0,0,"NO-KRONECKER",0,0
"(7,2)",173745,1,1,0,9,9,"OCCURRENCE",1,0
"(8,1)",91520,0,0,0,0,0,"NO-KRONECKER",0,0
"(9)",24310,1,1,0,9,9,"OCCURRENCE",1,0
